Club,Country,League,Player Names,Year,Above expectation,convertion rate of shots on target,convertion rate of total shots,Goals,Goals/xG,Matches Played,Mins,On Target,On Target Per Avg Match,onTarget/Shots per game,Shots,Shots Per Avg Match,Substitution,X G,xG Per Avg Match,xG<goals
(FER),Portugal,Primeira Liga,Douglas Tanque,2019,Not met expectation,0.222222222,0.08,2,0.796812749,7,644,9,1.33,0.36,25,3.69,0,2.51,0.37,Negative
(FEY),Portugal,Primeira Liga,Joao Teixeira,2019,met expectation,0.571428571,0.235294118,8,2.234636872,14,1416,14,0.94,0.411764706,34,2.28,7,3.58,0.24,Positive
(MNU),Portugal,Primeira Liga,Bruno Fernandes,2019,met expectation,0.347826087,0.133333333,8,1.433691756,17,1656,23,1.32,0.383333333,60,3.44,0,5.58,0.32,Positive
(BOA),Portugal,Primeira Liga,Angel Gomes,2019,met expectation,1.0,0.25,3,2.678571429,6,530,3,0.54,0.25,12,2.15,0,1.12,0.2,Positive
(POR),Portugal,Primeira Liga,Toni MartÃ­nez,2019,Not met expectation,0.344827586,0.135135135,10,0.956022945,27,2312,29,1.19,0.391891892,74,3.04,5,10.46,0.43,Negative
(BEN),Portugal,Primeira Liga,Pizzi,2019,met expectation,0.461538462,0.21686747,18,1.147227533,33,2981,39,1.24,0.469879518,83,2.65,1,15.69,0.5,Positive
(MIJ),Portugal,Primeira Liga,Bozhidar Kraev,2019,met expectation,0.421052632,0.173913043,8,1.758241758,28,2399,19,0.75,0.413043478,46,1.82,4,4.55,0.18,Positive
,Portugal,Primeira Liga,Sandro Lima,2019,Not met expectation,0.322580645,0.151515152,10,0.988142292,29,2747,31,1.07,0.46969697,66,2.28,3,10.12,0.35,Negative
(MAR),Portugal,Primeira Liga,Rodrigo Pinho,2019,met expectation,0.409090909,0.1875,9,1.37195122,18,1732,22,1.21,0.458333333,48,2.63,9,6.56,0.36,Positive
(MAR),Portugal,Primeira Liga,Rodrigo Pinho,2019,met expectation,0.75,0.352941176,6,1.960784314,7,646,8,1.18,0.470588235,17,2.5,1,3.06,0.45,Positive
(SAN),Portugal,Primeira Liga,Thiago Santana,2019,met expectation,0.5,0.25,6,1.812688822,8,714,12,1.6,0.5,24,3.19,0,3.31,0.44,Positive
(BEN),Portugal,Primeira Liga,Everton,2019,met expectation,0.285714286,0.181818182,2,1.904761905,8,622,7,1.07,0.636363636,11,1.68,0,1.05,0.16,Positive
(BAR),Portugal,Primeira Liga,Trincao,2019,met expectation,0.421052632,0.170212766,8,1.739130435,17,1749,19,1.03,0.404255319,47,2.55,10,4.6,0.25,Positive
(LIS),Portugal,Primeira Liga,Andraz Sporar,2019,Not met expectation,0.285714286,0.142857143,2,0.586510264,3,356,7,1.87,0.5,14,3.74,4,3.41,0.91,Negative
(BRA),Portugal,Primeira Liga,Ricardo Horta,2019,met expectation,0.324324324,0.129032258,12,1.337792642,31,2750,37,1.28,0.397849462,93,3.21,2,8.97,0.31,Positive
(VGU),Portugal,Primeira Liga,Bruno Duarte,2019,met expectation,0.666666667,0.153846154,2,1.129943503,6,509,3,0.56,0.230769231,13,2.43,1,1.77,0.33,Positive
