Club,Country,League,Player Names,Year,Above expectation,convertion rate of shots on target,convertion rate of total shots,Goals,Goals/xG,Matches Played,Mins,On Target,On Target Per Avg Match,onTarget/Shots per game,Shots,Shots Per Avg Match,Substitution,X G,xG Per Avg Match,xG<goals
(RMA),Spain,La Liga,Karim Benzema,2018,met expectation,0.477272727,0.201923077,21,1.202749141,35,3072,44,1.36,0.423076923,104,3.22,1,17.46,0.54,Positive
(VAL),Spain,La Liga,Maxi Gomez,2018,met expectation,0.464285714,0.158536585,13,1.00619195,33,3148,28,0.84,0.341463415,82,2.47,2,12.92,0.39,Positive
(CEL),Spain,La Liga,Iago Aspas,2018,met expectation,0.625,0.289855072,20,1.603849238,26,2369,32,1.28,0.463768116,69,2.77,1,12.47,0.5,Positive
(GET),Spain,La Liga,Jaime Mata,2018,met expectation,0.56,0.237288136,14,1.125401929,27,2569,25,0.92,0.423728814,59,2.18,7,12.44,0.46,Positive
(BIL),Spain,La Liga,Inaki Williams,2018,Not met expectation,0.363636364,0.16,12,0.883002208,36,3148,33,1.0,0.44,75,2.26,2,13.59,0.41,Negative
(GIR),Spain,La Liga,Cristhian Stuani,2018,met expectation,0.487179487,0.246753247,19,1.153612629,30,2897,39,1.28,0.506493506,77,2.53,2,16.47,0.54,Positive
(OSA),Spain,La Liga,Chimy Avila,2018,met expectation,0.416666667,0.113636364,10,1.31061599,20,2131,24,1.07,0.272727273,88,3.92,14,7.63,0.34,Positive
(ESP),Spain,La Liga,Raul de Tomas,2018,Not met expectation,0.29787234,0.12173913,14,0.863131936,32,2964,47,1.51,0.408695652,115,3.69,1,16.22,0.52,Negative
(ATL),Spain,La Liga,Luis Suarez,2018,Not met expectation,0.362068966,0.1875,21,0.844051447,31,2954,58,1.87,0.517857143,112,3.6,2,24.88,0.8,Negative
(LEV),Spain,La Liga,Roger,2018,Not met expectation,0.433333333,0.183098592,13,0.921985816,23,1999,30,1.43,0.422535211,71,3.37,8,14.1,0.67,Negative
(SOC),Spain,La Liga,Willian Jose,2018,met expectation,0.461538462,0.218181818,12,1.025641026,28,2471,26,1.0,0.472727273,55,2.11,3,11.7,0.45,Positive
(PSG),Spain,La Liga,Pablo Sarabia,2018,met expectation,0.419354839,0.173333333,13,1.100762066,30,2877,31,1.02,0.413333333,75,2.48,3,11.81,0.39,Positive
(SOC),Spain,La Liga,Mikel Oyarzabal,2018,met expectation,0.464285714,0.196969697,13,1.169064748,36,3300,28,0.81,0.424242424,66,1.9,1,11.12,0.32,Positive
(BAR),Spain,La Liga,Antoine Griezmann,2018,met expectation,0.333333333,0.132743363,15,1.038062284,37,3349,45,1.28,0.398230088,113,3.21,0,14.45,0.41,Positive
(BET),Spain,La Liga,Borja Iglesias,2018,met expectation,0.447368421,0.188888889,17,1.036585366,35,3246,38,1.11,0.422222222,90,2.63,2,16.4,0.48,Positive
(BAR),Spain,La Liga,Lionel Messi,2018,met expectation,0.413793103,0.211764706,36,1.412318556,29,2849,87,2.9,0.511764706,170,5.67,5,25.49,0.85,Positive
(GRA),Spain,La Liga,Jorge Molina,2018,met expectation,0.608695652,0.245614035,14,1.241134752,28,2819,23,0.78,0.403508772,57,1.92,10,11.28,0.38,Positive
,Spain,La Liga,Charles,2018,met expectation,0.466666667,0.222222222,14,1.006470165,17,1861,30,1.53,0.476190476,63,3.22,17,13.91,0.71,Positive
(MON),Spain,La Liga,Wissam Ben Yedder,2018,met expectation,0.5,0.236842105,18,1.045296167,31,2975,36,1.15,0.473684211,76,2.43,4,17.22,0.55,Positive
(LEV),Spain,La Liga,Morales,2018,Not met expectation,0.363636364,0.184615385,12,0.887573964,35,3381,33,0.93,0.507692308,65,1.83,2,13.52,0.38,Negative
(NAP),Italy,Serie A,Arkadiusz Milik,2018,met expectation,0.333333333,0.153153153,17,1.370967742,27,2560,51,1.89,0.459459459,111,4.12,8,12.4,0.46,Positive
(ATA),Italy,Serie A,Duvan Zapata,2018,met expectation,0.46,0.194915254,23,1.251360174,32,3064,50,1.55,0.423728814,118,3.66,5,18.38,0.57,Positive
(NAP),Italy,Serie A,Lorenzo Insigne,2018,met expectation,0.27027027,0.083333333,10,1.083423619,24,2191,37,1.6,0.308333333,120,5.2,4,9.23,0.4,Positive
(JUV),Italy,Serie A,Cristiano Ronaldo,2018,Not met expectation,0.308823529,0.118644068,21,0.969976905,30,2857,68,2.26,0.384180791,177,5.89,1,21.65,0.72,Negative
(LAZ),Italy,Serie A,Ciro Immobile,2018,Not met expectation,0.306122449,0.120967742,15,0.954805856,31,3046,49,1.53,0.39516129,124,3.87,5,15.71,0.49,Negative
(TOR),Italy,Serie A,Andrea Belotti,2018,Not met expectation,0.319148936,0.12,15,0.938086304,37,3533,47,1.26,0.376,125,3.36,0,15.99,0.43,Negative
(SAM),Italy,Serie A,Fabio Quagliarella,2018,met expectation,0.456140351,0.184397163,26,1.127493495,37,3269,57,1.66,0.404255319,141,4.1,0,23.06,0.67,Positive
Mario,Italy,Serie A,Mandzukic None,2018,met expectation,0.529411765,0.290322581,9,1.386748844,23,2125,17,0.76,0.548387097,31,1.39,2,6.49,0.29,Positive
(ROM),Italy,Serie A,Edin Dzeko,2018,Not met expectation,0.18,0.06870229,9,0.663716814,28,2741,50,1.73,0.381679389,131,4.54,5,13.56,0.47,Negative
(NAP),Italy,Serie A,Andrea Petagna,2018,met expectation,0.390243902,0.179775281,16,1.251956182,35,3196,41,1.22,0.460674157,89,2.65,1,12.78,0.38,Positive
(PAR),Italy,Serie A,Roberto Inglese,2018,met expectation,0.428571429,0.191489362,9,1.145038168,23,2075,21,0.96,0.446808511,47,2.15,2,7.86,0.36,Positive
(ATA),Italy,Serie A,Josip Ilicic,2018,met expectation,0.315789474,0.118811881,12,1.291711518,23,2262,38,1.6,0.376237624,101,4.24,8,9.29,0.39,Positive
(SAS),Italy,Serie A,Francesco Caputo,2018,Not met expectation,0.372093023,0.166666667,16,0.99378882,38,3641,43,1.12,0.447916667,96,2.5,0,16.1,0.42,Negative
(CAG),Italy,Serie A,Leonardo Pavoletti,2018,met expectation,0.484848485,0.19047619,16,1.454545455,31,2903,33,1.08,0.392857143,84,2.75,1,11.0,0.36,Positive
(SAS),Italy,Serie A,Gregoire Defrel,2018,met expectation,0.47826087,0.234042553,11,1.325301205,26,2388,23,0.91,0.489361702,47,1.87,10,8.3,0.33,Positive
(NAP),Italy,Serie A,Dries Mertens,2018,met expectation,0.41025641,0.179775281,16,1.534036433,23,2416,39,1.53,0.438202247,89,3.5,12,10.43,0.41,Positive
,Italy,Serie A,Stephan El Shaarawy,2018,met expectation,0.366666667,0.157142857,11,1.523545706,23,2213,30,1.29,0.428571429,70,3.0,5,7.22,0.31,Positive
(PAR),Italy,Serie A,Gervinho,2018,met expectation,0.578947368,0.25,11,1.591895803,27,2430,19,0.74,0.431818182,44,1.72,3,6.91,0.27,Positive
(PSG),Italy,Serie A,Mauro Icardi,2018,Not met expectation,0.379310345,0.150684932,11,0.740242261,24,2314,29,1.19,0.397260274,73,3.0,5,14.86,0.61,Negative
(BSC),Italy,Serie A,Krzysztof Piatek,2018,met expectation,0.442307692,0.194915254,23,1.334881021,34,3147,52,1.57,0.440677966,118,3.56,3,17.23,0.52,Positive
(HOF),Germany,Bundesliga,Andrej Kramaric,2018,Not met expectation,0.372093023,0.145454545,16,0.823892894,28,2527,43,1.62,0.390909091,110,4.14,2,19.42,0.73,Negative
(BMG),Germany,Bundesliga,Alassane Plea,2018,met expectation,0.292682927,0.144578313,12,1.063829787,28,2613,41,1.49,0.493975904,83,3.02,6,11.28,0.41,Positive
(CHE),Germany,Bundesliga,Kai Havertz,2018,met expectation,0.380952381,0.183908046,16,1.432408236,33,3033,42,1.32,0.482758621,87,2.73,1,11.17,0.35,Positive
(RMA),Germany,Bundesliga,Luka Jovic,2018,met expectation,0.404761905,0.175257732,17,1.203966006,25,2353,42,1.7,0.432989691,97,3.92,7,14.12,0.57,Positive
(ACM),Germany,Bundesliga,Ante Rebic,2018,met expectation,0.392857143,0.180327869,11,1.199563795,23,2075,28,1.28,0.459016393,61,2.79,5,9.17,0.42,Positive
(DOR),Germany,Bundesliga,Jadon Sancho,2018,met expectation,0.619047619,0.325,13,1.897810219,26,2602,21,0.77,0.525,40,1.46,8,6.85,0.25,Positive
(FCA),Germany,Bundesliga,Alfred Finnbogason,2018,Not met expectation,0.555555556,0.25,10,0.979431929,17,1385,18,1.23,0.45,40,2.74,1,10.21,0.7,Negative
(KOL),Germany,Bundesliga,Ondrej Duda,2018,met expectation,0.55,0.203703704,11,1.870748299,30,2661,20,0.71,0.37037037,54,1.93,2,5.88,0.21,Positive
(VIL),Germany,Bundesliga,Paco Alcacer,2018,met expectation,0.666666667,0.346153846,18,1.916932907,11,1312,27,1.96,0.519230769,52,3.77,15,9.39,0.68,Positive
(CHE),Germany,Bundesliga,Timo Werner,2018,met expectation,0.41025641,0.14953271,16,1.032924467,29,2582,39,1.43,0.364485981,107,3.94,1,15.49,0.57,Positive
(SCH),Germany,Bundesliga,Benito Raman,2018,met expectation,0.384615385,0.181818182,10,1.615508885,19,1781,26,1.39,0.472727273,55,2.93,11,6.19,0.33,Positive
(MON),Germany,Bundesliga,Kevin Volland,2018,met expectation,0.325581395,0.16091954,14,1.129032258,32,2945,43,1.39,0.494252874,87,2.81,2,12.4,0.4,Positive
(WOB),Germany,Bundesliga,Wout Weghorst,2018,met expectation,0.5,0.232876712,17,1.055245189,33,3061,34,1.06,0.465753425,73,2.27,1,16.11,0.5,Positive
(HOF),Germany,Bundesliga,Ishak Belfodil,2018,met expectation,0.5,0.204545455,18,1.775147929,20,1965,36,1.74,0.409090909,88,4.25,8,10.14,0.49,Positive
(DOR),Germany,Bundesliga,Marco Reus,2018,met expectation,0.515151515,0.246376812,17,1.277235162,27,2432,33,1.29,0.47826087,69,2.7,0,13.31,0.52,Positive
(MAI),Germany,Bundesliga,Jean-Philippe Mateta,2018,met expectation,0.411764706,0.144329897,14,1.195559351,29,2587,34,1.25,0.350515464,97,3.56,5,11.71,0.43,Positive
(WHU),Germany,Bundesliga,Sebastien Haller,2018,met expectation,0.576923077,0.277777778,15,1.23253903,23,2312,26,1.07,0.481481481,54,2.22,6,12.17,0.5,Positive
(UNB),Germany,Bundesliga,Max Kruse,2018,met expectation,0.275,0.120879121,11,1.171458999,32,2975,40,1.28,0.43956044,91,2.91,0,9.39,0.3,Positive
(BAY),Germany,Bundesliga,Robert Lewandowski,2018,Not met expectation,0.431372549,0.152777778,22,0.751622822,33,3090,51,1.57,0.354166667,144,4.43,0,29.27,0.9,Negative
(RBL),Germany,Bundesliga,Yussuf Poulsen,2018,met expectation,0.555555556,0.230769231,15,1.394052045,27,2556,27,1.0,0.415384615,65,2.42,4,10.76,0.4,Positive
(PSG),France,France Ligue 11,Angel Di Maria,2018,met expectation,0.4,0.12371134,12,1.149425287,28,2418,30,1.18,0.309278351,97,3.81,2,10.44,0.41,Positive
